id,name,slug,description,base_price_cents,category_id,sku,is_active
2ee30e1a-9597-4414-9cba-31077b4f4d08,Double Heather Recycled Crossbody Tote Bag,double-heather-recycled-crossbody-tote-bag-2ee3,Imported product: Double Heather Recycled Crossbody Tote Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-13119545,true
3007face-13a1-4da7-8bac-ba0247726f8a,The Goods Recycled Felt 6-Piece Manicure Set,the-goods-recycled-felt-6-piece-manicure-set-3007,Imported product: The Goods Recycled Felt 6-Piece Manicure Set,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-3CBDE18A,true
da4c3dbc-59d6-4915-8dc8-ebfa3893ba30,"Parker Recycled 17"" Computer Backpack",parker-recycled-17-computer-backpack-da4c,"Imported product: Parker Recycled 17"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-18E4E22A,true
ac0cbc1a-7853-4162-97a2-3049dd23904a,"Paired Recycled 15"" Computer Backpack",paired-recycled-15-computer-backpack-ac0c,"Imported product: Paired Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-A089A7B1,true
7a1e823d-64d1-4439-8f90-b07c1123d7eb,"Lanier Recycled 15"" Computer Backpack",lanier-recycled-15-computer-backpack-7a1e,"Imported product: Lanier Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-07948B73,true
0c10fb07-df62-45b4-9dfc-db7ee8c09e84,"Baye Recycled 15"" Computer Backpack",baye-recycled-15-computer-backpack-0c10,"Imported product: Baye Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-30BCF81C,true
5300d33a-c739-475a-9805-f6e4d92028df,"Fife Recycled 15"" Computer Backpack",fife-recycled-15-computer-backpack-5300,"Imported product: Fife Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-8A7F5794,true
f0ec7099-7c61-478b-bdcc-ff24de65180f,"Greenway Recycled 15"" Computer Backpack",greenway-recycled-15-computer-backpack-f0ec,"Imported product: Greenway Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-622230D6,true
e70069ee-5e7d-493b-8e90-1bacfb6e206a,"Wenger Rush Recycled 15"" Computer Backpack",wenger-rush-recycled-15-computer-backpack-e700,"Imported product: Wenger Rush Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-4002B27C,true
048fdea2-28aa-48a4-9692-7228724c035f,"Wenger Storm Recycled 15"" Computer Backpack",wenger-storm-recycled-15-computer-backpack-048f,"Imported product: Wenger Storm Recycled 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-0E66F1C8,true
1a22071b-0e6d-48f1-aa5a-788814c71e64,Wenger Recycled Dual Compartment Dopp Kit,wenger-recycled-dual-compartment-dopp-kit-1a22,Imported product: Wenger Recycled Dual Compartment Dopp Kit,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-C8A65FDE,true
5b29a900-d921-42c8-95b9-b7e0d9966135,"Thule Recycled Stravan 16"" Computer Backpack 2.0",thule-recycled-stravan-16-computer-backpack-20-5b29,"Imported product: Thule Recycled Stravan 16"" Computer Backpack 2.0",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-489E631D,true
c3e31153-7d18-49db-beed-d224c937d8aa,"Thule Recycled All Trail 14"" Computer Backpack",thule-recycled-all-trail-14-computer-backpack-c3e3,"Imported product: Thule Recycled All Trail 14"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-876C0A90,true
afaaf4ab-0ca6-405d-b0dc-33ace9e04225,FEED Organic Cotton Crossbody Bag,feed-organic-cotton-crossbody-bag-afaa,Imported product: FEED Organic Cotton Crossbody Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-6801ACDB,true
fa2d1de5-8b64-465f-90cf-f1732339df54,"Terra Thread Fairtrade Earth 15"" Computer Backpck",terra-thread-fairtrade-earth-15-computer-backpck-fa2d,"Imported product: Terra Thread Fairtrade Earth 15"" Computer Backpck",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-BBBF8704,true
ceab963f-632a-4ba5-9aba-a7f8c697d0dc,"Topo Recycled Global 15"" Computer Briefcase",topo-recycled-global-15-computer-briefcase-ceab,"Imported product: Topo Recycled Global 15"" Computer Briefcase",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-1369B0AA,true
837df7aa-7151-4dc1-9fdc-4a0400431e2a,Case Logic Invigo Recycled 16” Computer Backpack,case-logic-invigo-recycled-16-computer-backpack-837d,Imported product: Case Logic Invigo Recycled 16” Computer Backpack,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-A8008736,true
dbca34a3-663f-4299-bb63-739607f2e520,Case Logic Invigo Recycled 16” Computer Messenger Bag,case-logic-invigo-recycled-16-computer-messenger-bag-dbca,Imported product: Case Logic Invigo Recycled 16” Computer Messenger Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-3197EC80,true
e0b3d8f0-fa9c-43e9-9986-5bcc778120d7,"High Sierra Recycled Trivaro 15"" Computer Backpack",high-sierra-recycled-trivaro-15-computer-backpack-e0b3,"Imported product: High Sierra Recycled Trivaro 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-67FA90BB,true
3977e6c5-2ea5-421b-a8b1-f122afaf694c,"High Sierra Recycled Inhabit 15"" Computer Backpack",high-sierra-recycled-inhabit-15-computer-backpack-3977,"Imported product: High Sierra Recycled Inhabit 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-FB9F49CC,true
cc2d781f-6fe2-4f20-9184-1c5e2e22c2a0,Hanging Spiral Filament Lantern Flashlight,hanging-spiral-filament-lantern-flashlight-cc2d,Imported product: Hanging Spiral Filament Lantern Flashlight,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-72C3743A,true
07f356c8-ba73-455f-9257-c11c0d42914c,Laser Engraved High Sierra Eco 200 Lumen LED Flashlight,laser-engraved-high-sierra-eco-200-lumen-led-flashlight-07f3,Imported product: Laser Engraved High Sierra Eco 200 Lumen LED Flashlight,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-1E7493E6,true
5b6ac57c-1a5f-4743-9175-179aae53cfa4,Laser Engraved High Sierra Eco 150 Lumen Magnetic COB Work Flashlight,laser-engraved-high-sierra-eco-150-lumen-magnetic-cob-work-flashlight-5b6a,Imported product: Laser Engraved High Sierra Eco 150 Lumen Magnetic COB Work Flashlight,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-B3E0293C,true
563c3271-2261-4cbc-ad7b-4abcb10bf303,"Field & Co. Fireside Eco 15"" Computer Rucksack",field-and-co-fireside-eco-15-computer-rucksack-563c,"Imported product: Field & Co. Fireside Eco 15"" Computer Rucksack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-5A342533,true
da8486f0-27d0-4789-ae25-b1aaafeb2f50,Recycled Cotton Kitchen Towel,recycled-cotton-kitchen-towel-da84,Imported product: Recycled Cotton Kitchen Towel,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-9472D6E0,true
a5700a3d-401d-4376-8e0a-e43dd1c5edaa,Excursion 4-Piece Recycled Travel Pouch Set,excursion-4-piece-recycled-travel-pouch-set-a570,Imported product: Excursion 4-Piece Recycled Travel Pouch Set,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-193FBF92,true
c7b130c0-c9f2-46ac-8232-5cefbd0ebc30,Bellroy Lite Recycled Backpack,bellroy-lite-recycled-backpack-c7b1,Imported product: Bellroy Lite Recycled Backpack,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-B06401C9,true
dc1ac019-84fa-4f79-aea0-48563cf8187a,Bellroy Lite Recycled Duffel Bag,bellroy-lite-recycled-duffel-bag-dc1a,Imported product: Bellroy Lite Recycled Duffel Bag,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-A1D33033,true
fdff7831-1d64-4ade-82da-6801d4ff07d9,"Bellroy Via Recycled 16"" Computer Messenger Bag",bellroy-via-recycled-16-computer-messenger-bag-fdff,"Imported product: Bellroy Via Recycled 16"" Computer Messenger Bag",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-801727E0,true
cd5df0b4-7e4f-46ba-a4e6-a0be61de5fd6,"Repreve Ocean Everyday 15"" Computer Backpack",repreve-ocean-everyday-15-computer-backpack-cd5d,"Imported product: Repreve Ocean Everyday 15"" Computer Backpack",0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-45863AA4,true
57348c01-0228-42a8-8bea-fd362fdf4abc,Arctic Zone Repreve 6 Can Lunch Cooler,arctic-zone-repreve-6-can-lunch-cooler-5734,Imported product: Arctic Zone Repreve 6 Can Lunch Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-A9C3FECC,true
21a416c7-be1b-4faa-b387-cb9c05c77274,Arctic Zone Bahama Recycled 6 Can Lunch Cooler,arctic-zone-bahama-recycled-6-can-lunch-cooler-21a4,Imported product: Arctic Zone Bahama Recycled 6 Can Lunch Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-4A498DCA,true
75d66b63-90ba-4284-a7f0-5e4b9b5c96b8,Arctic Zone Repreve Recycled Sling Backpack Cooler,arctic-zone-repreve-recycled-sling-backpack-cooler-75d6,Imported product: Arctic Zone Repreve Recycled Sling Backpack Cooler,0,e2dbb0c4-8cf8-4b03-b8a1-3a0d6b64490a,CINK-E6A13B3E,true
